codigoExterno,endereco,numero,complemento,bairro,cidade,uf,cep,tipoImovel,metragem,status
3930,ALAMEDA DAS CHANANAS ,169 B,QUADRA 34,CIDADE 2000,FORTALEZA ,CE,60190300,CASA,,Ativo
3458,ALAMEDA ELIANE LUCIA,126,,CID 2000,FORTALEZA,CE,60190150,QUITINET,,Ativo
2849,ALBERTO CRAVEIRO,1240,AP 105 BL 6 RESERVA JARDIM COND CLUBE,DIAS MACEDO,FORTALEZA ,CE,60860000,APARTAMENTO,,Ativo
3198,ALBERTO CRAVEIRO,1240,AP406 BL13 RESERVA JARDIM (VIA MARGINAL R MARTINHO 51),DIAS MACADO,FORTALEZA,CE,60860000,APARTAMENTO,,Ativo
3673,ALBERTO MAGNO,146,,MONTESE ,FORTALEZA,CE,60435020,Ponto COMECIAL,,Ativo
3857,ALBERTO MAGNO ,665,B,MONTESE,FORTALEZA,CE,60425235,CASA ,,Ativo
3047,ALBERT SABIN,111,AP 202 ED GRACY,COCO,FORTALEZA,CE,60810060,APARTAMENTO,,Ativo
3089,AL DAS BONINAS,48,TERREO -  QUADRA 30 BAIRRO CIDADE 2000,PAPICU,FORTALEZA,CE,60190200,CASA,,Ativo
3932,AL DAS CECILIAS,172,B QUADRA 34,CIDADE 2000,FORTALEZA,CE,60190240,RESIDENCIAL,0,Ativo
4014,AL DAS EXTREMOSAS,78,AP I,CIDADE 2000,FORTALEZA,CE,60190420,APARTAMENTO,,Ativo
4018,AL DAS EXTREMOSAS,78,AP E,CIDADE 2000,FORTALEZA,CE,60190420,,,Ativo
4019,AL DAS EXTREMOSAS,78,AP L,CIDADE 2000,FORTALEZA,CE,60190420,APARTAMENTO,,Ativo
4287,AL DAS VERBENAS,280,,CIDADE 2000,FORTALEZA,CE,60190330,CASA,60,Ativo
1504,AL DAS VIOLETAS,46,QD 12,CIDADE 2000                                                     ,FORTALEZA                                                       ,CE,60190310,CASA                          ,,Ativo
1789,AL DOS CRISANTEMOS,186,QD 38 CJ CIDADE 2000,PAPICU                                                          ,FORTALEZA                                                       ,CE,60190360,CASA                          ,,Ativo
1893,AL MARIA DORALICE,125,QD 04,PAPICU                                                          ,FORTALEZA                                                       ,CE,60190170,CASA                          ,,Ativo
3265,A (LOT. MRV MAGIS - DENDE),90,AP 304 BL 7 ED FOUR LIFE LIBERDADE,MARAPONGA,FORTALEZA,CE,60714750,APARTAMENTO,,Ativo
3850,A (LOT. MRV MAGIS - DENDE),90,AP 310 BL 1 LIBERDADE ED FOUR LIFE,MARAPONGA,FORTALEZA,CE,60714750,APARTAMENTO,,Ativo
4285,AL ROSA MARIA,183,,CIDADE 2000,FORTALEZA,CE,60190250,CASA,80,Ativo
2560,ALTO DO GARROTE,544, ,TABUBA                                                          ,CAUCAIA                                                         ,CE,61600000,CASA                          ,,Ativo
2915,ALUISIO SORIANO ADERALDO,100,AP 1402 ED ALAMEDA COCO,COCO,FORTALEZA,CE,60001970,APARTAMENTO,,Ativo
2916,ALUISIO SORIANO ADERALDO,100,AP 1602 ED ALAMEDA COCO,COCO,FORTALEZA,CE,60001970,APARTAMENTO,,Ativo
2890,ALVARO BOMILCAR,3873,AP 304 ED ILHA BELA,TAUAPE,FORTALEZA,CE,60120280,APARTAMENTO,,Ativo
0075,ALVARO BOMILCAR,3873,AP 101 ED ILHA BELA,TAUAPE,FORTALEZA,CE,60120280,,60,Ativo
0008,ALVARO BOMILCAR,3628,AP 302 ED MARIA HELENA,TAUAPE,FORTALEZA,CE,60120280,,130,Ativo
3172,A (MARAPONGA),191,QD 4 - DENDE AP 503 BL 5 ED FOUR LIFE ALEGRIA,MARAPONGA,FORTALEZA ,CE,60711900,APARTAMENTO,,Ativo
2876,ANA BILHAR,491,AP 1102 ED HAMILTON NOGUEIRA ESQ DES MOREIRA 245,MEIRELES,FORTALEZA,CE,60160110,APARTAMETO,,Ativo
2595,ANA BILHAR,1235,AP 1301 ED ROMA,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,60,Ativo
